nome;id;base;Calorias;Proteína;Carboidrato;Energia;Colesterol;Lipídeos;Fibra Alimentar;Vitamina C;Ferro;Cálcio;Sódio;Magnésio;Potássio;Manganês;Fósforo;Cobre;Zinco;Retinol;Tiamina;Riboflavina;Piridoxina;Niacina;RE;RAE;Umidade
Alho, cru;550;100;113;7;23,9;473.0;0;0,2;4,3;0;0,8;14;5;21;535;0,24;149;0,15;0,8;0;0,18;0;0,44;0;0;0;67,5
Alho-poró, cru;272;100;32;1,4;6,9;132.0;0;0,1;2,5;14,1;0,6;34;2;11;224;0,1;36;0,29;0,2;0;0,06;0;0,08;0,34;16;16;91
Almeirão, cru;213;100;18;1,8;3,3;75.0;0;0,2;2,6;1,7;0,7;19;2;21;369;0,17;40;0,1;0,3;0;0,1;0,18;0;0,63;566;566;93,7
Almeirão, refogado;129;100;65;1,7;5,7;272.0;0;4,8;3,4;1,5;1,6;63;15;17;315;0,28;31;0,06;0,2;0;0,03;0,06;0,05;4,03;0;0;86,5
Ameixa, calda, enlatada;20;100;183;0,4;46,9;765.0;0;0;0,5;4,3;2,2;13;3;10;221;0,1;21;0,03;0,1;0;0;0,23;0,37;0;0;0;52,2
Ameixa, crua;368;100;53;0,8;13,9;220.0;0;0;2,4;7,6;0,1;6;0;5;134;0,03;14;0,06;0,1;0;0,07;0;0,03;0;27;27;84,8
Ameixa, em calda, enlatada, drenada;570;100;177;1;47,7;742.0;0;0,3;4,5;5,2;2,7;39;3;14;263;0,2;26;0,16;0,2;0;0;0,22;0,08;0;0;0;50,3
Amendoim, torrado, salgado;242;100;606;22,5;18,7;2535.0;0;54;7,8;0;1,3;39;376;159;496;1,7;261;0,68;2,1;0;0,08;0;0,21;7,47;0;0;1,7
Amêndoa, torrada, salgada;445;100;581;18,6;29,5;2430.0;0;47,3;11,6;0;3,1;237;279;222;640;1,95;493;0,93;2,6;0;0,29;0,16;0;0;0;0;3,1
Apresuntado;356;100;129;13,5;2,9;539.0;38;6,7;0;0;0,9;23;943;15;270;0,04;225;0,03;1,6;0;0,62;0,04;0;0,7;0;0;73,7
Arroz carreteiro;128;100;154;10,8;11,6;643.0;36;7,1;1,5;0;1;13;1622;9;87;0,18;48;0,08;2,7;0;0,03;0;0,07;1,6;0;0;68
Arroz, integral, cozido;191;100;124;2,6;25,8;517.0;0;1;2,7;0;0,3;5;1;59;75;0,63;106;0,02;0,7;0;0,08;0;0,08;0;0;0;70,1
Arroz, integral, cru;87;100;360;7,3;77,5;1505.0;0;1,9;4,8;0;0,9;8;2;110;173;2,99;251;0,07;1,4;0;0,26;0;0,18;4,18;0;0;12,2
Arroz, tipo 1, cozido;13;100;128;2,5;28,1;537.0;0;0,2;1,6;0;0,1;4;1;2;15;0,3;18;0,02;0,5;0;0;0;0;0;0;0;69,1
Arroz, tipo 1, cru;248;100;358;7,2;78,8;1497.0;0;0,3;1,6;0;0,7;4;1;30;62;1,03;104;0,11;1,2;0;0,16;0;0,07;1,12;0;0;13,2
Arroz, tipo 2, cozido;207;100;130;2,6;28,2;544.0;0;0,4;1,1;0;0,1;3;2;6;20;0,37;22;0,04;0,5;0;0;0;0;0;0;0;68,7
Arroz, tipo 2, cru;459;100;358;7,2;78,9;1498.0;0;0,3;1,7;0;0,6;5;1;29;57;0,83;82;0,05;1,3;0;0,16;0;0,05;0,92;0;0;13,2
Atemóia, crua;162;100;97;1;25,3;406.0;0;0,3;2,1;10,1;0,2;23;1;25;300;0,16;23;0,17;0,2;0;0,09;0,07;0,07;1,58;0;0;72,7
Atum, conserva em óleo;464;100;166;26,2;0;694.0;53;6;0;0;1,2;7;362;29;280;0;211;0,04;0,6;0;0,15;0,03;0;3,17;0;0;64,5
Atum, fresco, cru;524;100;118;25,7;0;492.0;48;0,9;0;0;1,3;7;30;32;308;0;254;0,09;0,4;20;0;0,04;0;5,94;20;20;73,1
Aveia, flocos, crua;474;100;394;13,9;66,6;1648.0;0;8,5;9,1;1,4;4,4;48;5;119;336;1,89;153;0,44;2,6;0;0,55;0,03;0;4,47;0;0;9,1
Azeite, de dendê;84;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azeite, de oliva, extra virgem;240;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azeitona, preta, conserva;249;100;194;1,2;5,5;812.0;0;20,3;4,6;0;5,5;59;1567;5;79;0,06;16;0,25;0,3;0;0;0;0,04;0;0;0;68,5
Azeitona, verde, conserva;259;100;137;0,9;4,1;573.0;0;14,2;3,8;0;0,2;46;1347;4;20;0,03;5;0,14;0,1;0;0;0;0;0;0;0;76,3
Açaí, polpa, com xarope de guaraná e glucose;11;100;110;0,7;21,5;461.0;0;3,7;1,7;10,3;0,3;22;15;13;75;3,29;11;0,14;0,2;0;0;0;0,07;0;0;0;73,9
Açaí, polpa, congelada;173;100;58;0,8;6,2;243.0;0;3,9;2,6;0;0,4;35;5;17;124;6,16;16;0,18;0,3;0;0;0,04;0,07;0;0;0;88,7
Açúcar, mascavo;514;100;369;0,8;94,5;1542.0;0;0,1;0;0;8,3;127;25;80;522;2,03;38;0,17;0,5;0;0;0,03;0;0;0;0;3,3
Bacalhau, salgado, cru;336;100;136;29;0;569.0;139;1,3;0;0;0,9;157;13585;49;434;0,03;186;0,09;0,7;0;0;0,21;0;0;0;0;47,9
Bacalhau, salgado, refogado;394;100;140;24;1,2;584.0;112;3,6;0;0;0,2;59;1256;15;50;0;51;0,04;0,6;0;0,03;0,05;0;5,17;0;0;65,9
Baião de dois, arroz e feijão-de-corda;101;100;136;6,2;20,4;568.0;4;3,2;5,1;0;0,6;33;93;19;157;0,27;72;0,08;0,6;0;0,04;0;0,04;0;0;0;69,1
Banana, da terra, crua;568;100;128;1,4;33,7;536.0;0;0,2;1,5;15,7;0,3;4;0;24;328;0,16;26;0,05;0,2;0;0,03;0,02;0,14;0;239;239;63,9
Banana, doce em barra;111;100;280;2,2;75,7;1172.0;0;0,1;3,8;0;0,6;12;10;49;518;0,84;37;0,16;0,3;0;0,03;0;0,06;1,41;27;27;21,1
Banana, figo, crua;147;100;105;1,1;27,8;440.0;0;0,1;2,8;17,5;0,2;6;0;30;387;0,21;16;0,06;0,1;0;0,09;0;0,03;0;0;0;70,1
Banana, maçã, crua;285;100;87;1,8;22,3;363.0;0;0,1;2,6;10,5;0,2;3;0;24;264;0,6;29;0,11;0,1;0;0;0;0,14;0;6;6;75,2
Banana, nanica, crua;385;100;92;1,4;23,8;383.0;0;0,1;1,9;5,9;0,3;3;0;28;376;0,14;27;0,1;0,2;0;0;0,02;0,14;0;14;14;73,8
Banana, ouro, crua;519;100;112;1,5;29,3;470.0;0;0,2;2;7,6;0,3;3;0;28;355;0,09;22;0,08;0,3;0;0;0;0,14;0;50;50;68,2
Banana, pacova, crua;433;100;78;1,2;20,3;326.0;0;0,1;2;0;0,4;5;1;30;267;0,41;20;0,06;0,1;0;0,05;0,03;0,17;0;0;0;77,7
Banana, prata, crua;180;100;98;1,3;26;411.0;0;0,1;2;21,6;0,4;8;0;26;358;0,42;22;0,05;0,1;0;0;0,02;0,1;0;32;32;71,9
Barreado;345;100;165;18,3;0,2;690.0;60;9,5;0,1;0;2,4;15;48;21;295;0,05;169;0,17;4,8;0;0,03;0,04;0;2,09;0;0;71,2
Batata, baroa, cozida;358;100;80;0,9;18,9;335.0;0;0,2;1,8;17,1;0,4;12;2;8;258;0,22;29;0,15;0,4;0;0,06;0;0;1,98;0;0;79,3
Batata, baroa, crua;89;100;101;1;24;423.0;0;0,2;2,1;7,6;0,3;17;0;12;505;0,07;45;0,05;0,2;0;0,05;0;0,12;0;25;25;73,7
Batata, doce, cozida;4;100;77;0,6;18,4;321.0;0;0,1;2,2;23,8;0,2;17;3;11;148;0,14;15;0,06;0,1;0;0,08;0;0,05;2,57;0;0;80,4
Batata, doce, crua;359;100;118;1,3;28,2;495.0;0;0,1;2,6;16,5;0,4;21;9;17;340;0,18;36;0,11;0,2;0;0,06;0;0,1;0;0;0;69,5
Batata, frita, tipo chips, industrializada;517;100;543;5,6;51,2;2271.0;0;36,6;2,5;0;0,7;12;607;24;1014;0,23;96;0,12;0,6;0;0,2;0;0,13;2,61;0;0;2,7
Batata, inglesa, cozida;361;100;52;1,2;11,9;216.0;0;0;1,3;3,8;0,2;4;2;5;161;0,07;24;0,06;0,2;0;0,05;0;0,08;0;0;0;86,4
Batata, inglesa, crua;244;100;64;1,8;14,7;269.0;0;0;1,2;31,1;0,4;4;0;15;302;0,1;39;0,09;0,2;0;0,1;0;0,15;0;0;0;82,9
Batata, inglesa, frita;440;100;267;5;35,6;1118.0;0;13,1;8,1;16,3;0,4;6;2;14;489;0,15;70;0,1;0,4;0;0,17;0;0,1;2,51;0;0;44,1
Batata, inglesa, sauté;210;100;68;1,3;14,1;284.0;0;0,9;1,4;0;0,3;4;8;6;199;0,08;32;0,05;0,2;0;0,07;0;0,09;1,38;0;0;83,1
Bebida isotônica, sabores variados;498;100;26;0;6,4;107.0;0;0;0;0;0,7;1;44;0;13;0;9;0;0;0;0;0;0;0;0;0;93,5
Bebida láctea, pêssego;565;100;55;2,1;7,6;231.0;5;1,9;0,3;2,1;0;89;46;9;62;0;63;0,02;0,2;0;0,03;0,14;0;0,33;0;0;87,7
Berinjela, cozida;473;100;19;0,7;4,5;79.0;0;0,1;2,5;0;0,2;11;1;9;105;0,11;15;0,04;0,1;0;0,04;0;0;0;0;0;94,4
Berinjela, crua;469;100;20;1,2;4,4;82.0;0;0,1;2,9;3;0,2;9;0;13;205;0,1;20;0,06;0,1;0;0,04;0,05;0;0;24;24;93,8
Beterraba, cozida;353;100;32;1,3;7,2;135.0;0;0,1;1,9;1,2;0,2;15;23;17;245;0,19;30;0,04;0,4;0;0,09;0;0;0;0;0;90,6
Beterraba, crua;238;100;49;1,9;11,1;204.0;0;0,1;3,4;3,1;0,3;18;10;24;375;1,23;19;0,08;0,5;0;0,04;0;0,04;0;0;0;86
Bife à cavalo, com contra filé;192;100;291;23,7;0;1219.0;257;21,1;0;0;2,1;26;83;19;272;0,02;216;0,06;3,2;37;0,05;0,1;0;2,92;0;0;54,2
Biscoito, doce, maisena;38;100;443;8,1;75,2;1853.0;0;12;2,1;6,2;1,8;54;352;37;142;0,78;166;0,17;1;0;1,01;0,42;0,23;3,91;0;0;3,2
Biscoito, doce, recheado com chocolate;116;100;472;6,4;70,5;1974.0;0;19,6;3;3,5;2,3;27;239;48;232;0,59;139;0,27;1;0;0,32;0,39;0,46;2,52;0;0;2,2
Biscoito, doce, recheado com morango;302;100;471;5,7;71;1971.0;0;19,6;1,5;0;1,5;36;230;27;113;0,66;138;0,13;0,7;0;0,9;0,42;0,21;1,5;0;0;2,7
Biscoito, doce, wafer, recheado de chocolate;75;100;502;5,6;67,5;2102.0;0;24,7;1,8;0;2,4;23;137;48;240;0,44;124;0,26;0,9;0;0,37;0,03;0,3;1,12;0;0;1,2
Biscoito, doce, wafer, recheado de morango;304;100;513;4,5;67,4;2148.0;1;26,4;0,8;0;1,1;14;120;19;75;0,28;73;0,08;0,5;0;0,36;0;0,94;0,37;0;0;1,2
Biscoito, polvilho doce;573;100;438;1,3;80,5;1831.0;9;12,2;1,2;0;1,8;30;98;6;54;0,08;23;0,04;0,1;0;0;0,03;0,07;0;0;0;5,4
Biscoito, salgado, cream cracker;402;100;432;10,1;68,7;1806.0;0;14,4;2,5;0;2,2;20;854;40;181;0,69;148;0,18;1,1;0;0,71;0,13;0,17;7,14;0;0;4,1
Bolinho de arroz;378;100;274;8;41,7;1144.0;70;8,3;2,7;0;2,1;24;59;13;96;0,42;87;0,13;0,9;0;0,08;0,05;0;0;0;0;41,5
Bolo, mistura para;442;100;419;6,2;84,7;1752.0;0;6,1;1,7;0;1,2;59;463;28;75;0,46;333;0,15;0,6;0;0,18;0;1,5;1,52;0;0;1
Bolo, pronto, aipim;578;100;324;4,4;47,9;1355.0;73;12,7;0,7;0;0,5;85;111;10;135;0,11;122;0,05;0,4;0;0,13;0,07;0;0;0;0;34,1
Bolo, pronto, chocolate;215;100;410;6,2;54,7;1715.0;77;18,5;1,4;0;2,1;75;283;28;212;0,38;197;0,05;0,7;0;0,13;0,09;0,05;0;0;0;19,3
